uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	BIG6	BIG7	BIG8	BIG9	BIG10	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	Republican	Democrat	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U4935	0	37	5	0	0	0	5	5	6	7	5	7	6	3	6	6	6	7	7	6	5	7	6	5	6	6	6	6	7	6	6	5	5	7	6	5	7	5	5	7	6	7	7	5	6	6	6	6	6	7	6	6	7	5	6	6	5	7	6	7	7	5	6	7	6	5	6	6	5	7	6	6	6	7	81	89	10	6	7	6	5	5	6	6	6	6	7	120.0	6	7
U4936	0	34	4	1	1	3	5	7	7	7	6	7	7	7	6	7	2	6	1	7	2	7	2	7	2	6	3	7	2	7	2	2	6	2	7	1	6	2	1	1	5	2	1	1	5	7	5	4	6	4	3	7	7	6	7	7	6	7	7	6	7	7	6	6	7	7	7	7	7	6	6	7	7	7	11	100	2	6	7	7	6	7	7	7	7	7	7	1500.0	3	2
U4940	0	28	1	0	0	0	1	1	3	2	3	1	3	1	4	1	2	2	4	2	3	3	4	1	1	1	3	1	3	1	1	1	2	4	2	1	3	3	5	3	2	2	4	2	2	2	2	4	5	5	5	2	2	1	1	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	6	4	3	4	3	4	3	1	2	1	1	0.0	1	1
U4941	0	28	5	1	1	3	0	4	7	7	5	7	5	7	7	4	4	6	2	7	5	5	1	5	4	4	1	1	4	4	2	3	4	4	5	1	7	1	1	3	2	1	5	3	1	4	1	7	7	5	2	1	4	7	3	1	7	7	4	1	4	7	4	7	1	4	7	7	4	4	7	4	6	4	50	50	6	4	4	4	4	5	5	5	4	6	5	100.0	4	6
U4952	0	35	4	0	0	0	3	7	7	7	1	7	7	7	7	7	1	7	1	7	7	7	1	7	1	1	7	7	1	7	1	7	7	7	7	1	7	1	1	1	1	1	1	1	7	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	7	7	7	7	7	7	100	100	11	7	7	7	7	7	7	7	7	7	7	500.0	1	1
U4957	0	29	6	0	0	0	3	3	5	3	6	5	5	6	3	4	5	5	5	6	5	6	4	5	4	5	3	5	4	5	6	4	5	3	5	3	4	4	1	4	4	1	1	1	4	4	3	4	7	6	4	5	6	4	7	2	5	6	4	4	5	5	3	6	3	4	3	3	3	5	5	4	2	5	80	11	10	6	5	5	6	3	3	4	5	3	5	50.0	6	7
U4960	0	37	1	0	0	3	2	6	6	5	5	6	6	6	7	4	1	3	2	6	4	6	1	6	4	4	4	4	4	4	4	4	4	2	4	4	5	4	3	4	5	5	3	4	5	5	4	2	5	4	4	1	1	4	6	6	1	1	7	3	1	2	2	3	2	3	2	3	7	7	7	7	7	5	23	14	6	3	4	4	4	3	3	4	4	2	3	0.0	1	1
U4964	0	32	5	0	0	0	5	6	1	6	5	3	5	5	6	5	4	6	5	5	5	6	4	6	1	4	3	5	4	3	4	4	5	5	5	3	4	1	4	5	3	1	4	3	2	5	6	5	5	4	2	6	6	4	4	5	5	4	5	5	6	5	5	6	7	5	5	4	6	4	6	5	2	5	77	95	10	6	5	6	6	5	6	6	5	6	5	1000.0	5	5
U4970	0	63	1	0	0	0	6	4	4	4	4	4	4	3	4	4	4	4	4	5	4	4	3	3	4	4	4	4	4	4	3	3	4	2	6	3	6	3	4	4	1	1	1	1	4	4	4	4	3	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	6	4	4	4	4	9	69	5	2	4	4	3	2	3	3	3	4	4	0.0	1	1
U4976	0	41	5	0	0	0	3	7	7	6	6	7	6	6	7	7	7	7	7	6	6	6	6	7	6	6	7	7	7	6	7	6	7	7	7	7	6	7	7	6	7	7	6	7	7	6	7	7	6	6	6	7	6	7	7	5	7	6	7	6	7	7	6	7	6	7	6	7	7	6	6	7	7	7	97	64	11	6	7	6	6	7	7	6	7	7	7	140.0	6	7
U4980	0	30	5	0	0	0	3	7	7	7	5	6	5	6	6	7	7	5	5	5	7	6	7	6	6	7	6	5	7	5	6	6	5	5	7	6	7	7	7	5	6	6	6	7	6	5	7	5	7	6	6	5	7	5	6	7	6	7	5	6	6	7	7	7	7	5	6	6	7	6	6	6	5	7	90	99	10	5	7	6	5	7	7	5	5	5	6	50.0	5	7
U4983	0	36	4	0	0	0	2	7	7	7	4	6	6	7	5	6	3	7	2	3	6	7	1	7	5	6	1	7	7	7	2	2	7	1	7	1	7	2	1	1	4	1	1	2	5	7	7	3	3	3	5	6	4	3	7	2	2	2	1	4	3	3	4	4	5	4	6	3	7	7	7	5	3	5	6	83	4	7	5	7	5	6	6	4	5	6	4	44.0	3	2
U4991	0	46	4	0	0	0	4	6	6	7	6	5	6	7	5	6	7	5	6	7	5	7	6	6	6	6	7	6	5	5	6	6	6	6	5	7	7	6	7	6	6	6	5	6	5	5	6	6	5	5	7	6	7	6	7	6	7	6	7	6	7	7	6	6	7	6	7	6	7	7	6	6	6	7	90	61	10	7	6	6	7	7	5	6	6	7	6	100.0	7	6
