uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	CDU	SPD	GRU	FDP	LIN	AFD	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U4951	1	55	1	0	0	0	0	5	7	5	3	5	6	4	4	4	2	4	3	1	1	6	3	5	5	3	3	2	3	4	2	6	4	3	4	3	1	1	1	4	4	4	4	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	5	5	4	3	56	50	75	60	26	0	6	1	1	2	1	1	1	1	1	1	1	0.0	1	1
U4954	1	24	3	0	0	0	1	6	7	6	5	6	7	6	6	3	3	2	5	1	4	3	5	3	4	4	3	2	3	5	3	4	2	2	2	5	1	1	1	4	4	3	2	2	2	3	1	2	2	1	1	5	4	6	3	3	5	3	4	4	5	4	3	5	5	5	6	5	7	54	52	83	24	67	0	4	2	3	4	2	3	2	2	2	4	3	0.0	2	5
U4955	1	40	2	0	0	0	2	5	6	5	4	6	5	5	5	5	2	4	7	1	1	6	2	5	3	4	6	1	5	2	5	3	4	5	4	1	1	3	1	3	3	1	1	1	1	1	5	5	4	1	1	1	1	1	1	1	1	3	2	1	1	2	2	3	4	4	5	6	6	67	56	30	53	22	59	7	1	3	2	2	1	1	1	1	2	1	0.0	2	4
U4957	1	66	2	0	0	0	2	6	7	7	6	7	4	7	7	1	6	2	7	2	2	3	6	3	6	1	3	6	2	6	1	6	1	2	1	6	1	1	1	7	7	6	6	6	3	6	3	7	4	1	2	1	1	3	2	3	7	5	6	6	4	4	6	4	5	5	6	6	6	46	63	91	31	25	0	5	7	7	7	6	3	5	4	6	7	7	100.0	1	3
U4958	1	67	2	0	0	0	1	6	7	7	4	7	6	4	6	6	6	5	3	6	3	1	5	1	3	4	5	2	3	2	3	6	1	4	1	3	1	1	1	7	7	1	4	4	1	1	4	5	1	1	1	1	1	1	1	1	5	1	2	1	1	3	6	3	4	6	6	6	6	60	56	84	38	0	0	5	1	2	2	1	1	2	2	2	7	7	100.0	1	5
U4959	0	67	1	0	0	3	2	6	7	7	4	6	6	6	3	4	3	4	4	4	1	7	1	7	2	5	7	1	7	6	7	1	6	1	1	1	7	1	1	3	3	1	4	1	1	1	3	7	5	4	1	1	4	1	1	7	1	7	1	1	7	1	1	1	1	7	7	7	7	30	22	0	39	22	0	6	5	5	5	5	4	5	4	5	1	1	0.0	1	4
U445	0	55	3	0	0	0	0	4	5	5	4	5	3	3	4	6	2	2	5	4	7	1	7	1	7	1	2	7	1	7	1	7	1	1	1	6	1	1	1	7	1	4	2	4	4	3	3	7	7	1	1	1	1	1	1	2	4	2	4	2	1	4	2	3	5	4	6	4	4	41	43	61	24	61	0	3	3	6	4	3	3	4	2	4	7	4	100.0	3	2
U4960	0	51	3	0	0	0	2	5	6	5	5	4	4	5	7	3	3	5	6	2	3	4	6	3	5	2	5	4	4	5	2	6	2	2	1	3	1	1	1	5	6	2	4	4	3	2	5	6	6	1	1	1	1	1	3	5	2	2	1	5	2	3	6	5	3	6	5	6	6	88	57	72	86	8	0	8	7	6	6	6	6	5	4	4	6	6	50.0	6	3
U4963	1	21	3	0	0	0	0	5	7	5	7	6	5	6	6	4	1	3	4	1	7	1	7	1	6	1	1	6	1	7	1	7	1	1	1	4	1	1	1	7	7	7	5	5	5	7	5	1	2	1	1	5	1	1	1	5	7	3	7	3	7	4	4	5	3	7	6	6	6	23	64	95	53	96	0	3	1	2	3	2	2	2	3	3	7	6	50.0	6	7
U4970	0	52	2	0	0	0	2	5	6	5	4	5	3	5	5	2	6	1	6	2	2	6	2	6	3	3	6	2	6	4	3	3	3	5	1	1	1	1	1	4	1	1	1	1	1	1	5	4	4	2	1	1	1	1	1	6	6	6	6	5	6	6	5	5	6	4	6	6	6	42	40	42	40	40	50	6	5	5	5	4	2	3	3	3	5	5	0.0	6	6
