id,topic,topic_label
238,19,ard_medien_schon_journalisten
239,-1,mehr_menschen_deutschland_wurde
240,-1,mehr_menschen_deutschland_wurde
241,-1,mehr_menschen_deutschland_wurde
242,3,prozent_000_deutschland_mehr
243,-1,mehr_menschen_deutschland_wurde
244,-1,mehr_menschen_deutschland_wurde
245,23,deutschland_anträge_000_prozent
246,-1,mehr_menschen_deutschland_wurde
247,-1,mehr_menschen_deutschland_wurde
248,-1,mehr_menschen_deutschland_wurde
249,-1,mehr_menschen_deutschland_wurde
250,1,libyen_sea_bord_schiff
251,9,täter_wurde_polizei_mann
252,-1,mehr_menschen_deutschland_wurde
253,3,prozent_000_deutschland_mehr
254,-1,mehr_menschen_deutschland_wurde
255,-1,mehr_menschen_deutschland_wurde
256,10,russland_putin_ukraine_russischen
257,-1,mehr_menschen_deutschland_wurde
258,-1,mehr_menschen_deutschland_wurde
259,10,russland_putin_ukraine_russischen
260,10,russland_putin_ukraine_russischen
261,0,grenze_belarus_polen_eu
262,0,grenze_belarus_polen_eu
263,-1,mehr_menschen_deutschland_wurde
264,4,türkei_eu_erdogan_türkische
265,-1,mehr_menschen_deutschland_wurde
266,-1,mehr_menschen_deutschland_wurde
267,-1,mehr_menschen_deutschland_wurde
268,22,afghanistan_taliban_afghanen_kabul
269,0,grenze_belarus_polen_eu
270,-1,mehr_menschen_deutschland_wurde
271,-1,mehr_menschen_deutschland_wurde
272,-1,mehr_menschen_deutschland_wurde
273,5,mexiko_trump_us_usa
274,5,mexiko_trump_us_usa
275,4,türkei_eu_erdogan_türkische
276,0,grenze_belarus_polen_eu
277,4,türkei_eu_erdogan_türkische
278,0,grenze_belarus_polen_eu
279,18,türkei_griechenland_griechischen_migranten
280,22,afghanistan_taliban_afghanen_kabul
281,-1,mehr_menschen_deutschland_wurde
282,-1,mehr_menschen_deutschland_wurde
283,-1,mehr_menschen_deutschland_wurde
284,1,libyen_sea_bord_schiff
285,0,grenze_belarus_polen_eu
286,0,grenze_belarus_polen_eu
287,-1,mehr_menschen_deutschland_wurde
288,-1,mehr_menschen_deutschland_wurde
289,-1,mehr_menschen_deutschland_wurde
290,18,türkei_griechenland_griechischen_migranten
291,15,taliban_afghanistan_kabul_us
292,-1,mehr_menschen_deutschland_wurde
293,8,deutschland_wurde_sagt_familie
294,5,mexiko_trump_us_usa
295,0,grenze_belarus_polen_eu
296,-1,mehr_menschen_deutschland_wurde
297,-1,mehr_menschen_deutschland_wurde
298,-1,mehr_menschen_deutschland_wurde
299,1,libyen_sea_bord_schiff
300,0,grenze_belarus_polen_eu
301,-1,mehr_menschen_deutschland_wurde
302,-1,mehr_menschen_deutschland_wurde
303,16,syrien_syrischen_idlib_al
304,-1,mehr_menschen_deutschland_wurde
305,0,grenze_belarus_polen_eu
306,-1,mehr_menschen_deutschland_wurde
307,0,grenze_belarus_polen_eu
308,-1,mehr_menschen_deutschland_wurde
309,-1,mehr_menschen_deutschland_wurde
310,4,türkei_eu_erdogan_türkische
311,0,grenze_belarus_polen_eu
312,-1,mehr_menschen_deutschland_wurde
313,-1,mehr_menschen_deutschland_wurde
314,23,deutschland_anträge_000_prozent
315,-1,mehr_menschen_deutschland_wurde
316,1,libyen_sea_bord_schiff
317,-1,mehr_menschen_deutschland_wurde
318,1,libyen_sea_bord_schiff
319,0,grenze_belarus_polen_eu
320,-1,mehr_menschen_deutschland_wurde
321,15,taliban_afghanistan_kabul_us
322,-1,mehr_menschen_deutschland_wurde
323,15,taliban_afghanistan_kabul_us
324,4,türkei_eu_erdogan_türkische
325,5,mexiko_trump_us_usa
