id,topic,topic_label
633,-1,border_said_biden_president
634,15,agents_patrol_border patrol_border
635,3,title_title 42_42_border
636,1,afghanistan_afghans_afghan_taliban
637,0,ukraine_russian_said_ukrainian
638,-1,border_said_biden_president
639,11,daca_citizenship_immigration_immigrants
640,-1,border_said_biden_president
641,-1,border_said_biden_president
642,-1,border_said_biden_president
643,3,title_title 42_42_border
644,-1,border_said_biden_president
645,-1,border_said_biden_president
646,-1,border_said_biden_president
647,17,mayorkas_border_dhs_security
648,-1,border_said_biden_president
649,9,belarus_eu_poland_belarusian
650,2,children_border_unaccompanied_hhs
651,1,afghanistan_afghans_afghan_taliban
652,-1,border_said_biden_president
653,-1,border_said_biden_president
654,-1,border_said_biden_president
655,-1,border_said_biden_president
656,3,title_title 42_42_border
657,-1,border_said_biden_president
658,10,rio_del_del rio_migrants
659,-1,border_said_biden_president
660,27,caravan_migrants_mexico_tapachula
661,-1,border_said_biden_president
662,20,percent_voters_poll_immigration
663,-1,border_said_biden_president
664,18,texas_migrants_covid19_border
665,4,asylum_mexico_court_policy
666,-1,border_said_biden_president
667,7,democrats_senate_house_republicans
668,3,title_title 42_42_border
669,-1,border_said_biden_president
670,4,asylum_mexico_court_policy
671,-1,border_said_biden_president
672,3,title_title 42_42_border
673,-1,border_said_biden_president
674,-1,border_said_biden_president
675,-1,border_said_biden_president
676,21,abbott_texas_border_migrants
677,-1,border_said_biden_president
678,-1,border_said_biden_president
679,15,agents_patrol_border patrol_border
680,-1,border_said_biden_president
681,2,children_border_unaccompanied_hhs
682,13,harris_border_president_vice
683,-1,border_said_biden_president
684,-1,border_said_biden_president
685,-1,border_said_biden_president
686,2,children_border_unaccompanied_hhs
687,-1,border_said_biden_president
688,-1,border_said_biden_president
689,-1,border_said_biden_president
690,-1,border_said_biden_president
691,22,border_agents_migrants_patrol
692,27,caravan_migrants_mexico_tapachula
693,3,title_title 42_42_border
694,-1,border_said_biden_president
695,21,abbott_texas_border_migrants
696,15,agents_patrol_border patrol_border
697,-1,border_said_biden_president
698,-1,border_said_biden_president
699,-1,border_said_biden_president
700,25,separated_families_children_parents
701,-1,border_said_biden_president
702,-1,border_said_biden_president
703,-1,border_said_biden_president
704,7,democrats_senate_house_republicans
705,-1,border_said_biden_president
706,-1,border_said_biden_president
707,-1,border_said_biden_president
708,22,border_agents_migrants_patrol
709,-1,border_said_biden_president
710,-1,border_said_biden_president
711,-1,border_said_biden_president
712,-1,border_said_biden_president
713,1,afghanistan_afghans_afghan_taliban
714,10,rio_del_del rio_migrants
715,-1,border_said_biden_president
716,26,workers_labor_jobs_foreign
717,-1,border_said_biden_president
718,16,ice_detention_detained_detainees
719,-1,border_said_biden_president
720,-1,border_said_biden_president
721,-1,border_said_biden_president
722,-1,border_said_biden_president
723,1,afghanistan_afghans_afghan_taliban
724,-1,border_said_biden_president
725,-1,border_said_biden_president
726,15,agents_patrol_border patrol_border
727,14,wall_border_border wall_construction
728,-1,border_said_biden_president
729,-1,border_said_biden_president
730,3,title_title 42_42_border
731,3,title_title 42_42_border
732,1,afghanistan_afghans_afghan_taliban
733,-1,border_said_biden_president
734,-1,border_said_biden_president
735,-1,border_said_biden_president
736,-1,border_said_biden_president
737,-1,border_said_biden_president
738,-1,border_said_biden_president
739,-1,border_said_biden_president
740,-1,border_said_biden_president
741,-1,border_said_biden_president
742,-1,border_said_biden_president
743,3,title_title 42_42_border
744,-1,border_said_biden_president
745,-1,border_said_biden_president
746,22,border_agents_migrants_patrol
747,-1,border_said_biden_president
748,2,children_border_unaccompanied_hhs
749,-1,border_said_biden_president
750,15,agents_patrol_border patrol_border
751,-1,border_said_biden_president
752,-1,border_said_biden_president
753,0,ukraine_russian_said_ukrainian
754,3,title_title 42_42_border
755,35,border_migrants_cbp_number
756,4,asylum_mexico_court_policy
757,3,title_title 42_42_border
758,-1,border_said_biden_president
759,1,afghanistan_afghans_afghan_taliban
760,3,title_title 42_42_border
761,21,abbott_texas_border_migrants
762,-1,border_said_biden_president
763,-1,border_said_biden_president
764,17,mayorkas_border_dhs_security
765,-1,border_said_biden_president
766,-1,border_said_biden_president
767,-1,border_said_biden_president
768,6,new_vaccine_said_health
769,-1,border_said_biden_president
770,15,agents_patrol_border patrol_border
771,15,agents_patrol_border patrol_border
772,-1,border_said_biden_president
773,-1,border_said_biden_president
774,-1,border_said_biden_president
775,12,migrants_antonio_san antonio_truck
776,15,agents_patrol_border patrol_border
777,-1,border_said_biden_president
778,10,rio_del_del rio_migrants
779,-1,border_said_biden_president
780,-1,border_said_biden_president
781,-1,border_said_biden_president
782,3,title_title 42_42_border
783,3,title_title 42_42_border
784,15,agents_patrol_border patrol_border
785,-1,border_said_biden_president
786,-1,border_said_biden_president
787,-1,border_said_biden_president
788,-1,border_said_biden_president
789,3,title_title 42_42_border
790,15,agents_patrol_border patrol_border
791,18,texas_migrants_covid19_border
792,-1,border_said_biden_president
793,-1,border_said_biden_president
794,2,children_border_unaccompanied_hhs
795,3,title_title 42_42_border
796,1,afghanistan_afghans_afghan_taliban
797,-1,border_said_biden_president
798,-1,border_said_biden_president
799,-1,border_said_biden_president
800,-1,border_said_biden_president
801,3,title_title 42_42_border
802,21,abbott_texas_border_migrants
803,12,migrants_antonio_san antonio_truck
804,3,title_title 42_42_border
805,-1,border_said_biden_president
806,12,migrants_antonio_san antonio_truck
807,-1,border_said_biden_president
808,-1,border_said_biden_president
809,-1,border_said_biden_president
810,13,harris_border_president_vice
811,2,children_border_unaccompanied_hhs
812,29,biden_border_immigration_administration
813,-1,border_said_biden_president
814,13,harris_border_president_vice
815,-1,border_said_biden_president
816,27,caravan_migrants_mexico_tapachula
817,4,asylum_mexico_court_policy
818,29,biden_border_immigration_administration
819,2,children_border_unaccompanied_hhs
820,30,democrats_reconciliation_senate_parliamentarian
821,6,new_vaccine_said_health
822,37,texas_deportations_immigration_moratorium
823,-1,border_said_biden_president
824,-1,border_said_biden_president
825,-1,border_said_biden_president
826,1,afghanistan_afghans_afghan_taliban
827,21,abbott_texas_border_migrants
828,23,white_carlson_replacement_theory
829,-1,border_said_biden_president
830,2,children_border_unaccompanied_hhs
831,-1,border_said_biden_president
832,5,asian_american_chinese_like
833,5,asian_american_chinese_like
834,-1,border_said_biden_president
835,6,new_vaccine_said_health
836,4,asylum_mexico_court_policy
837,12,migrants_antonio_san antonio_truck
838,-1,border_said_biden_president
839,-1,border_said_biden_president
840,34,abortion_reproductive_abortions_people
841,-1,border_said_biden_president
842,-1,border_said_biden_president
843,-1,border_said_biden_president
844,23,white_carlson_replacement_theory
845,7,democrats_senate_house_republicans
846,-1,border_said_biden_president
847,4,asylum_mexico_court_policy
848,-1,border_said_biden_president
849,4,asylum_mexico_court_policy
850,-1,border_said_biden_president
851,-1,border_said_biden_president
852,39,le_le pen_pen_macron
853,-1,border_said_biden_president
854,0,ukraine_russian_said_ukrainian
855,-1,border_said_biden_president
856,-1,border_said_biden_president
857,-1,border_said_biden_president
858,3,title_title 42_42_border
859,-1,border_said_biden_president
860,5,asian_american_chinese_like
861,29,biden_border_immigration_administration
862,-1,border_said_biden_president
863,-1,border_said_biden_president
864,23,white_carlson_replacement_theory
865,3,title_title 42_42_border
866,-1,border_said_biden_president
867,23,white_carlson_replacement_theory
868,37,texas_deportations_immigration_moratorium
869,23,white_carlson_replacement_theory
870,21,abbott_texas_border_migrants
871,-1,border_said_biden_president
872,-1,border_said_biden_president
873,0,ukraine_russian_said_ukrainian
874,-1,border_said_biden_president
876,23,white_carlson_replacement_theory
877,1,afghanistan_afghans_afghan_taliban
878,14,wall_border_border wall_construction
879,3,title_title 42_42_border
880,23,white_carlson_replacement_theory
881,0,ukraine_russian_said_ukrainian
882,37,texas_deportations_immigration_moratorium
883,0,ukraine_russian_said_ukrainian
884,-1,border_said_biden_president
885,6,new_vaccine_said_health
